Date,Open,High,Low,Close,Adj Close,Volume
2017-10-03,28.6,29.1,28.6,29.049999,28.276654999999998,57172938
2017-10-04,29.15,29.450001,29.15,29.25,28.471331,20538286
2017-10-06,29.25,29.549999,29.25,29.35,28.568668,24867265
2017-10-09,29.35,29.4,29.15,29.25,28.471331,35210320
2017-10-10,29.25,29.4,29.200001,29.4,28.617338,22031757
2017-10-11,29.5,29.549999,29.200001,29.25,28.471331,27103487
2017-10-12,29.35,29.5,29.299999,29.4,28.617338,31186795
2017-10-13,29.4,29.450001,29.299999,29.4,28.617338,31955612
2017-10-16,29.5,29.75,29.5,29.6,28.812014,29436057
2017-10-17,29.700001,29.700001,29.549999,29.65,28.860682,25877513
2017-10-18,29.6,29.65,29.549999,29.65,28.860682,15560777
2017-10-19,29.65,29.75,29.0,29.15,28.373993,44461114
2017-10-20,29.35,29.5,29.25,29.450001,28.666008,57082765
2017-10-23,29.5,29.5,29.15,29.25,28.471331,51245177
2017-10-24,29.200001,29.299999,29.0,29.15,28.373993,45003409
2017-10-25,29.15,29.299999,29.1,29.25,28.471331,35911871
2017-10-26,29.15,29.25,29.049999,29.15,28.373993,41698341
2017-10-27,29.25,29.450001,29.25,29.35,28.568668,40539268
2017-10-30,29.5,29.6,29.25,29.299999,28.519999,44684466
2017-10-31,28.5,28.549999,28.299999,28.450001,28.450001,21227110
2017-11-01,28.5,28.799999,28.5,28.75,28.75,38044301
2017-11-02,28.75,28.799999,28.6,28.65,28.65,40367785
2017-11-03,28.700001,28.799999,28.700001,28.799999,28.799999,12737658
